"Node.A","Node.B"
"ACAP3","CSNK1G2"
"ACAP3","CSNK1G3"
"ACAP3","DGKZ"
"ACAP3","DVL3"
"ACAP3","DYNC1H1"
"ACAP3","FLNA"
"ACAP3","FOLR1"
"ACAP3","HGS"
"ACAP3","IMPA1"
"ACAP3","INPP5E"
"ACAP3","INPPL1"
"ACAP3","ITPR3"
"ACAP3","JMJD7-PLA2G4B"
"ACAP3","MAP2K2"
"ACAP3","PFN1"
"ACAP3","PPP1R12C"
"ACAP3","PRKACA"
"ACAP3","PSD4"
"ACAP3","RAB5B"
"ACAP3","RAF1"
"ACAP3","RASSF1"
"ACAP3","SH3GLB2"
"ACAP3","SPTAN1"
"ACAP3","ULK3"
"ACOX1","ADRBK1"
"ACOX1","AKT2"
"ACOX1","AP2M1"
"ACOX1","ATP6V1G2"
"ACOX1","CDC42"
"ACOX1","CHD8"
"ACOX1","DGKD"
"ACOX1","E2F4"
"ACOX1","EGLN2"
"ACOX1","FOLR1"
"ACOX1","GNAI1"
"ACOX1","GUCY1B3"
"ACOX1","HCLS1"
"ACOX1","HSP90AB1"
"ACOX1","IL18"
"ACOX1","INPP5D"
"ACOX1","INPPL1"
"ACOX1","ITGAV"
"ACOX1","LTB4R"
"ACOX1","MAP2K7"
"ACOX1","MAPK8IP3"
"ACOX1","MCM3"
"ACOX1","MDM4"
"ACOX1","NXF1"
"ACOX1","PDGFC"
"ACOX1","PI4KA"
"ACOX1","PPP1R12C"
"ACOX1","PPP5C"
"ACOX1","PSD4"
"ACOX1","PWP2"
"ACOX1","RAF1"
"ACOX1","RAP1B"
"ACOX1","RAPGEF1"
"ACOX1","SNAI2"
"ACOX1","SOCS6"
"ACOX1","STAT6"
"ACOX1","STK3"
"ACOX1","STX12"
"ACOX1","SYMPK"
"ACOX1","SYVN1"
"ACOX1","TYK2"
"ACOX1","UBE2I"
"ACOX1","UBE2W"
"ACOX1","VHL"
"ACOX1","ZFYVE27"
"ACP1","LAMP1"
"ACP1","SSBP1"
"ACP1","TNFRSF1A"
"ACSL1","CCR1"
"ACSL1","EPB41L3"
"ACSL1","FCGR2A"
"ACSL1","SOD2"
"ACSL1","TLR2"
"ACTB","ACTG1"
"ACTB","ACTN4"
"ACTB","AKT1"
"ACTB","AKT1S1"
"ACTB","ANAPC10"
"ACTB","ANAPC11"
"ACTB","AP2A2"
"ACTB","ARF1"
"ACTB","ARHGEF11"
"ACTB","ATP2A2"
"ACTB","ATP6V1G2"
"ACTB","CBL"
"ACTB","CD34"
"ACTB","CSF1R"
"ACTB","CSNK1D"
"ACTB","CYTH1"
"ACTB","DDB1"
"ACTB","DGKZ"
"ACTB","DIAPH1"
"ACTB","DNM2"
"ACTB","DVL3"
"ACTB","FLNA"
"ACTB","GNAI2"
"ACTB","HCLS1"
"ACTB","HGS"
"ACTB","IL2RG"
"ACTB","ILK"
"ACTB","INPP5D"
"ACTB","JAK1"
"ACTB","JAK3"
"ACTB","MAP2K2"
"ACTB","MAPKAPK2"
"ACTB","MCL1"
"ACTB","MSN"
"ACTB","MTMR14"
"ACTB","MYH9"
"ACTB","NCOR2"
"ACTB","PFN1"
"ACTB","PI4KA"
"ACTB","POLR2A"
"ACTB","PPP1R12C"
"ACTB","PPP2R1A"
"ACTB","RAB5B"
"ACTB","RAB8A"
"ACTB","RAPGEF1"
"ACTB","RELA"
"ACTB","SMURF1"
"ACTB","SPTAN1"
"ACTB","TGFB1"
"ACTB","TSC2"
"ACTB","TUBA1C"
"ACTB","TUBB"
"ACTB","UBA1"
"ACTB","WAS"
"ACTB","WASF2"
"ACTB","WIPF2"
"ACTB","YWHAZ"
"ACTB","ZYX"
"ACTG1","ACTN4"
"ACTG1","ANAPC10"
"ACTG1","CAPZB"
"ACTG1","COL6A2"
"ACTG1","CYCS"
"ACTG1","EGLN2"
"ACTG1","FLNA"
"ACTG1","HCLS1"
"ACTG1","JUND"
"ACTG1","MAP2K2"
"ACTG1","MAP2K3"
"ACTG1","MCL1"
"ACTG1","MSN"
"ACTG1","MYH9"
"ACTG1","PFN1"
"ACTG1","POLR1D"
"ACTG1","POLR2A"
"ACTG1","RAB8A"
"ACTG1","RAPGEF1"
"ACTG1","SPTAN1"
"ACTG1","SRF"
"ACTG1","TGFB1"
"ACTG1","TUBB"
"ACTG1","UBA1"
"ACTG1","WIPF2"
"ACTG1","ZYX"
"ACTN1","ACVR1"
"ACTN1","ASAP2"
"ACTN1","ATP2B4"
"ACTN1","C1R"
"ACTN1","CCND1"
"ACTN1","CD99"
"ACTN1","COL1A1"
"ACTN1","COL1A2"
"ACTN1","COL4A1"
"ACTN1","COL4A2"
"ACTN1","COL6A1"
"ACTN1","COL6A2"
"ACTN1","COL6A3"
"ACTN1","CSF1"
"ACTN1","CTBP2"
"ACTN1","CTNNA1"
"ACTN1","CTNND1"
"ACTN1","CTSK"
"ACTN1","CTTN"
"ACTN1","DAB2"
"ACTN1","EHD2"
"ACTN1","EPAS1"
"ACTN1","GABARAPL1"
"ACTN1","GAS1"
"ACTN1","GNA11"
"ACTN1","GNAQ"
"ACTN1","HSPA1A"
"ACTN1","HSPG2"
"ACTN1","IGF1R"
"ACTN1","IL13RA1"
"ACTN1","IL1R1"
"ACTN1","ITGA5"
"ACTN1","ITGAM"
"ACTN1","JAG1"
"ACTN1","JAM3"
"ACTN1","JUN"
"ACTN1","LAMA4"
"ACTN1","LAMB2"
"ACTN1","LAMP1"
"ACTN1","LMNA"
"ACTN1","MMP2"
"ACTN1","MRAS"
"ACTN1","MRC2"
"ACTN1","MYL9"
"ACTN1","MYLK"
"ACTN1","NCKAP1"
"ACTN1","NHP2"
"ACTN1","NOTCH2"
"ACTN1","OSMR"
"ACTN1","PDGFRB"
"ACTN1","PLAU"
"ACTN1","PPARD"
"ACTN1","PTPRM"
"ACTN1","NECTIN2"
"ACTN1","RAB13"
"ACTN1","RAB31"
"ACTN1","RRAS"
"ACTN1","RXRA"
"ACTN1","SDC4"
"ACTN1","SERPINF1"
"ACTN1","SHC1"
"ACTN1","SMAD7"
"ACTN1","SPHK1"
"ACTN1","TCF7L2"
"ACTN1","VAMP3"
"ACTN1","VCAN"
"ACTN1","VEGFC"
"ACTN4","AKT1"
"ACTN4","ANAPC10"
"ACTN4","ANAPC2"
"ACTN4","ATP2A2"
"ACTN4","CAPZB"
"ACTN4","CD34"
"ACTN4","CHD8"
"ACTN4","COL6A2"
"ACTN4","DGKZ"
"ACTN4","DIAPH1"
"ACTN4","DNM2"
"ACTN4","DVL3"
"ACTN4","DYNC1H1"
"ACTN4","EGLN2"
"ACTN4","FLNA"
"ACTN4","GNAI2"
"ACTN4","HGS"
"ACTN4","ITPR3"
"ACTN4","JUND"
"ACTN4","MAP2K2"
"ACTN4","MAP3K11"
"ACTN4","MCL1"
"ACTN4","MSN"
"ACTN4","MYH9"
"ACTN4","NCOR2"
"ACTN4","PIP4K2B"
"ACTN4","PIP5K1C"
"ACTN4","PLD2"
"ACTN4","POLR2A"
"ACTN4","RAB5B"
"ACTN4","RAPGEF1"
"ACTN4","RELA"
"ACTN4","REXO1"
"ACTN4","SPTAN1"
"ACTN4","TGFB1"
"ACTN4","TSC2"
"ACTN4","UBA1"
"ACTN4","UBE2W"
"ACTN4","WASF2"
"ACTN4","WIPF2"
"ACTN4","ZYX"
"ACVR1","ARFGAP3"
"ACVR1","ASAP2"
"ACVR1","CAPN2"
"ACVR1","DAB2"
"ACVR1","DUSP6"
"ACVR1","EPAS1"
"ACVR1","F2R"
"ACVR1","FGF7"
"ACVR1","GNAQ"
"ACVR1","IL1R1"
"ACVR1","IL6ST"
"ACVR1","ITGA6"
"ACVR1","JAG1"
"ACVR1","LAMP2"
"ACVR1","LPAR6"
"ACVR1","NCKAP1"
"ACVR1","PDGFRA"
"ACVR1","PTPRM"
"ACVR1","RAB31"
"ACVR1","SDC2"
"ACVR1","SNAI2"
"ACVR1","SPG20"
"ACVR1","VAMP3"
"ACVR1B","CXCL16"
"ACVR1B","STEAP3"
"ADCY6","ANAPC10"
"ADCY6","IMPA1"
"ADCY6","POLR2K"
"ADCY7","ATP2B4"
"ADCY7","CD6"
"ADCY7","CSF1R"
"ADCY7","DAPK1"
"ADCY7","EPB41L3"
"ADCY7","IGF2R"
"ADCY7","IL17RA"
"ADCY7","ITGB2"
"ADCY7","LAMP1"
"ADCY7","NHP2"
"ADCY7","SNU13"
"ADCY7","RALGDS"
"ADCY7","SLC25A4"
"ADCY7","STAT1"
"ADCY7","TNFRSF1B"
"ADCY9","ASAP2"
"ADCY9","CACNA2D1"
"ADCY9","CTBP2"
"ADCY9","DUSP6"
"ADCY9","EPAS1"
"ADCY9","GUCY1A3"
"ADCY9","KITLG"
"ADCY9","MYLK"
"ADCY9","PDGFC"
"ADCY9","TJP1"
"ADRA2A","C3"
"ADRA2A","OSMR"
"ADRBK1","AGRN"
"ADRBK1","AP2A1"
"ADRBK1","AP2S1"
"ADRBK1","APH1A"
"ADRBK1","ARAF"
"ADRBK1","ARRB2"
"ADRBK1","ATG12"
"ADRBK1","ATP6V0A1"
"ADRBK1","ATP6V0D2"
"ADRBK1","ATP6V1F"
"ADRBK1","ATP6V1G1"
"ADRBK1","BAK1"
"ADRBK1","BECN1"
"ADRBK1","CACNA1I"
"ADRBK1","CACNG6"
"ADRBK1","CALR"
"ADRBK1","CARS2"
"ADRBK1","CCDC53"
"ADRBK1","CCNG1"
"ADRBK1","CDC25B"
"ADRBK1","CDC34"
"ADRBK1","CDK2"
"ADRBK1","CER1"
"ADRBK1","CHMP2B"
"ADRBK1","CRK"
"ADRBK1","CSNK1G2"
"ADRBK1","CSNK1G3"
"ADRBK1","CTSZ"
"ADRBK1","CUL7"
"ADRBK1","CYBA"
"ADRBK1","DARS"
"ADRBK1","DIAPH2"
"ADRBK1","DYNC1I2"
"ADRBK1","E2F4"
"ADRBK1","EDNRB"
"ADRBK1","EIF6"
"ADRBK1","ELK1"
"ADRBK1","EPN1"
"ADRBK1","EPOR"
"ADRBK1","FARSA"
"ADRBK1","FOLR1"
"ADRBK1","FZR1"
"ADRBK1","GNG11"
"ADRBK1","GNG5"
"ADRBK1","GTSE1"
"ADRBK1","HACL1"
"ADRBK1","IFNA17"
"ADRBK1","IFNGR2"
"ADRBK1","IKBKG"
"ADRBK1","IL11RA"
"ADRBK1","INPPL1"
"ADRBK1","IP6K2"
"ADRBK1","IQGAP3"
"ADRBK1","ITCH"
"ADRBK1","JMJD7-PLA2G4B"
"ADRBK1","KAT2A"
"ADRBK1","KLK3"
"ADRBK1","LMO7"
"ADRBK1","LTB4R"
"ADRBK1","MAP2K3"
"ADRBK1","MAP2K7"
"ADRBK1","MAPK8IP3"
"ADRBK1","MDN1"
"ADRBK1","MECOM"
"ADRBK1","MPHOSPH10"
"ADRBK1","MPV17L"
"ADRBK1","MUS81"
"ADRBK1","MVK"
"ADRBK1","NCSTN"
"ADRBK1","NFKB2"
"ADRBK1","NLGN2"
"ADRBK1","NMUR2"
"ADRBK1","NOL6"
"ADRBK1","NOS1"
"ADRBK1","NPBWR1"
"ADRBK1","NUMBL"
"ADRBK1","PAX8"
"ADRBK1","PDGFC"
"ADRBK1","PFN1"
"ADRBK1","PGF"
"ADRBK1","PI4KB"
"ADRBK1","PIK3R1"
"ADRBK1","PIM1"
"ADRBK1","PLD2"
"ADRBK1","PPM1D"
"ADRBK1","PPP1R12C"
"ADRBK1","PPP2R5D"
"ADRBK1","PPP2R5E"
"ADRBK1","PRKACA"
"ADRBK1","PRKCI"
"ADRBK1","PSD4"
"ADRBK1","PSENEN"
"ADRBK1","PWP2"
"ADRBK1","RAB11B"
"ADRBK1","RAB11FIP3"
"ADRBK1","RAB22A"
"ADRBK1","RAF1"
"ADRBK1","RALA"
"ADRBK1","RAP1B"
"ADRBK1","RPA2"
"ADRBK1","RXRB"
"ADRBK1","SEC22B"
"ADRBK1","SEC61A2"
"ADRBK1","SH3GLB2"
"ADRBK1","SLC25A6"
"ADRBK1","SOCS6"
"ADRBK1","STRADA"
"ADRBK1","SYMPK"
"ADRBK1","SYVN1"
"ADRBK1","TAOK2"
"ADRBK1","TJAP1"
"ADRBK1","TLN1"
"ADRBK1","TNFRSF11B"
"ADRBK1","UBE2D4"
"ADRBK1","UBE2K"
"ADRBK1","ULK3"
"ADRBK1","VHL"
"ADRBK1","VPS26A"
"ADRBK1","VPS35"
"ADRBK1","WNT6"
"ADRBK1","XDH"
"ADRBK1","ZFYVE27"
"ADRBK1","ZMAT3"
"AGAP1","ASAP2"
"AGAP1","CSF1"
"AGAP1","CTSO"
"AGAP1","EPAS1"
"AGAP1","GNAQ"
"AGAP1","GUCY1A3"
"AGAP1","LTBR"
"AGAP1","PECAM1"
"AGAP1","SPG20"
"AGAP1","TRAF4"
"AGAP3","ARAP1"
"AGAP3","ATP6AP1"
"AGAP3","CTSD"
"AGAP3","IL17RA"
"AGAP3","PLEKHO2"
"AGAP3","TNFRSF1A"
"AGPS","ATF2"
"AGPS","STAT6"
"AGPS","UBA2"
"AGPS","VPS37A"
"AGRN","AP2A1"
"AGRN","AP2M1"
"AGRN","APPL1"
"AGRN","ARF5"
"AGRN","ARFGAP1"
"AGRN","ARHGEF1"
"AGRN","ARHGEF11"
"AGRN","ARRB2"
"AGRN","ATF2"
"AGRN","ATG12"
"AGRN","ATP6V0A1"
"AGRN","ATP6V1F"
"AGRN","ATP6V1G2"
"AGRN","CALR"
"AGRN","CDC34"
"AGRN","CHD8"
"AGRN","CTSZ"
"AGRN","CUL7"
"AGRN","DARS"
"AGRN","E2F4"
"AGRN","EDNRB"
"AGRN","EPOR"
"AGRN","FLNA"
"AGRN","FOLR1"
"AGRN","FZR1"
"AGRN","GBF1"
"AGRN","HACL1"
"AGRN","IFNGR2"
"AGRN","IMPA1"
"AGRN","INPPL1"
"AGRN","JMJD7-PLA2G4B"
"AGRN","LMO7"
"AGRN","M6PR"
"AGRN","MAP2K3"
"AGRN","MAP2K7"
"AGRN","MPHOSPH10"
"AGRN","MVK"
"AGRN","NCSTN"
"AGRN","NLGN2"
"AGRN","NOS1"
"AGRN","PAX8"
"AGRN","POP4"
"AGRN","PPM1D"
"AGRN","PPP1R12C"
"AGRN","PPP2R5E"
"AGRN","PRKACA"
"AGRN","RAB5B"
"AGRN","RAB5C"
"AGRN","RALB"
"AGRN","SH3GLB2"
"AGRN","SPG21"
"AGRN","SPI1"
"AGRN","TAOK2"
"AGRN","TLN1"
"AGRN","UBE2K"
"AGRN","UBE2Z"
"AGRN","VPS35"
"AGRN","YWHAQ"
"AGRN","ZMAT3"
"AIFM1","BMS1"
"AIFM1","BTK"
"AIFM1","CORO1A"
"AIFM1","DKC1"
"AIFM1","HSP90AB1"
"AIFM1","IRAK1"
"AIFM1","MCM3"
"AIFM1","NAT10"
"AIFM1","PKMYT1"
"AIFM1","PLK1"
"AIFM1","POLD2"
"AIFM1","POLR2E"
"AIFM1","PPP2R1A"
"AIFM1","PWP2"
"AIFM1","SAE1"
"AIFM1","SLC25A5"
"AIFM1","SNX12"
"AIFM1","TUBB"
"AIFM1","UBA1"
"AIFM1","UBE2I"
"AKT1","ANAPC10"
"AKT1","ANAPC2"
"AKT1","AP2M1"
"AKT1","ARAF"
"AKT1","ARF1"
"AKT1","ARF3"
"AKT1","ARFGAP2"
"AKT1","ARHGEF1"
"AKT1","ARHGEF11"
"AKT1","ATG12"
"AKT1","ATP2A2"
"AKT1","ATP6AP1"
"AKT1","ATP6V0C"
"AKT1","ATP6V1G2"
"AKT1","CAPN1"
"AKT1","CHD8"
"AKT1","CHMP2B"
"AKT1","CSNK1D"
"AKT1","CSNK1G3"
"AKT1","CTBP1"
"AKT1","DDB1"
"AKT1","DNM2"
"AKT1","DVL3"
"AKT1","DYNC1H1"
"AKT1","EGLN2"
"AKT1","GBF1"
"AKT1","GNAI2"
"AKT1","HCLS1"
"AKT1","HGS"
"AKT1","HSP90AB1"
"AKT1","IL2RG"
"AKT1","INPPL1"
"AKT1","ITPR3"
"AKT1","JAK1"
"AKT1","LMNB2"
"AKT1","MAP2K2"
"AKT1","MAP2K7"
"AKT1","MAPK8"
"AKT1","MAX"
"AKT1","MGRN1"
"AKT1","MSN"
"AKT1","MYH9"
"AKT1","PFN1"
"AKT1","POLR2E"
"AKT1","PPP2R1A"
"AKT1","PSD4"
"AKT1","RAB5B"
"AKT1","RELA"
"AKT1","RELT"
"AKT1","RPS6KA4"
"AKT1","SPTAN1"
"AKT1","SRF"
"AKT1","STK11"
"AKT1","STK36"
"AKT1","TAOK2"
"AKT1","TGFB1"
"AKT1","TPM3"
"AKT1","TSC2"
"AKT1","TUBB"
"AKT1","UBA1"
"AKT1","UBA3"
"AKT1","UBE2I"
"AKT1","UBE2Q2"
"AKT1","WAS"
"AKT1","WIPF2"
"AKT1","YWHAH"
"AKT1","ZYX"
"AKT1S1","AP2A2"
"AKT1S1","AP2M1"
"AKT1S1","ARF1"
"AKT1S1","ARRB2"
"AKT1S1","ATG12"
"AKT1S1","ATP6V1G2"
"AKT1S1","CHD8"
"AKT1S1","CUL7"
"AKT1S1","DNM2"
"AKT1S1","DVL3"
"AKT1S1","E2F4"
"AKT1S1","FLNA"
"AKT1S1","GBF1"
"AKT1S1","GNAI2"
"AKT1S1","HGS"
"AKT1S1","INPPL1"
"AKT1S1","MAP2K2"
"AKT1S1","MAPKAPK2"
"AKT1S1","NCKAP1L"
"AKT1S1","NCSTN"
"AKT1S1","NFKB2"
"AKT1S1","NXF1"
"AKT1S1","POLR2A"
"AKT1S1","PPP1R12C"
"AKT1S1","PPP2R1A"
"AKT1S1","PPP5C"
"AKT1S1","PRKACA"
"AKT1S1","RAB5C"
"AKT1S1","RAPGEF1"
"AKT1S1","RELA"
"AKT1S1","REXO1"
"AKT1S1","RPS6KA4"
"AKT1S1","SPI1"
"AKT1S1","TGFB1"
"AKT1S1","TSC2"
"AKT1S1","UBA1"
"AKT1S1","YWHAH"
"AKT1S1","ZYX"
"AKT2","AP2M1"
"AKT2","ARFGAP2"
"AKT2","ATP6V1G2"
"AKT2","CAV2"
"AKT2","CORO1A"
"AKT2","CTBP1"
"AKT2","DNM2"
"AKT2","EGLN2"
"AKT2","FBL"
"AKT2","GBF1"
"AKT2","GRB2"
"AKT2","GUCY1B3"
"AKT2","HCLS1"
"AKT2","HGS"
"AKT2","HSP90AB1"
"AKT2","IKBKG"
"AKT2","IL15"
"AKT2","INPP5D"
"AKT2","INPPL1"
"AKT2","LMNB2"
"AKT2","LY96"
"AKT2","MAP2K2"
"AKT2","MAP2K7"
"AKT2","MAP4K1"
"AKT2","MCM3"
"AKT2","MCM5"
"AKT2","NCK1"
"AKT2","POLD2"
"AKT2","POLR2A"
"AKT2","POLR2E"
"AKT2","PPP2R1A"
"AKT2","PPP5C"
"AKT2","PRKACA"
"AKT2","PWP2"
"AKT2","RAB5B"
"AKT2","RAF1"
"AKT2","RAPGEF1"
"AKT2","REXO1"
